Tapix's enriched data,,,,,,,,,,,,,,,,,,,,,,
shopUid,merchantUid,name,shopType,categoryName,categoryLogo,tags,street,city ,zip ,country ,coordinatesType,lat,long,url,googlePlaceId,logo,co2FootprintValue,co2FootprintUnit,transactionTimestamp,sourceId,amount,currency
SNOtkxF6ztcFuB4dbuM7T7,XaJ0zvYvGrniXejQkeYAqQ,Peek & Cloppenburg,bricks,Fashion,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/150/l,"{""Clothing - Other""}",Bulevardul General Vasile Milea 4,București,61344,RO,rooftop,44.4302365,26.0532104,https://www.peek-cloppenburg.com,https://www.google.com/maps/place/?q=place_id:ChIJU7g2SNABskARwg1xR4h4Fh4,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/XaJ0zvYvGrniXejQkeYAqQ/l,24.47,kg,2024-01-15T14:30:00.123+02:00,00482bcbb7f574bad05010ba1c759e01c585087d1fc97e1a30d9587171b095be,46,EUR
Ke31oyno3kfMKm1108R30,23be1qVlaWlTlnKlb2JkMy,Nordsee,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,"{""Restaurant Without A Waiter""}",Váci út 1-3,Budapest,1062,HU,rooftop,47.5142302,19.059472,https://www.nordsee.com,https://www.google.com/maps/place/?q=place_id:ChIJH_oMaAvcQUcRLqQoWvifHeU,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/23be1qVlaWlTlnKlb2JkMy/l,7.34,kg,2024-02-18T13:45:00.456+01:00,b1845cbd122edb65adf2faf096b56ae23ef14400a8350fd4ffa4ad1f4120e6eb,20.05,EUR
5g11jnyoAPmSg4LAPomEV,kAXN8rMVze2IPDm53pedk9,Pizza Hut,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,"{""Restaurant Without A Waiter"",""American Fast Food"",Pizza}",Będzińska 80,Czeladź,41-250,PL,rooftop,50.319414,19.1051781,https://new.pizzahut.pl,https://www.google.com/maps/place/?q=place_id:ChIJXdtc8u3QFkcRBbnorUPjkHk,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/kAXN8rMVze2IPDm53pedk9/l,9.06,kg,2023-05-22T13:50:00.789+01:00,38391a2632887a0e7d368d5125d0235a363da9ec298efb53864c915aa72f67c9,24.75,EUR
vd8Rd8XD7VkuKlGPer380B,W3b37YbepQZc0b1ElvWlaR,Starbucks,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,{Cafe},Pawia 5,Kraków,31-154,PL,rooftop,50.067187,19.945926,https://www.starbucks.pl,https://www.google.com/maps/place/?q=place_id:ChIJ74Ft8xpbFkcRKzJ1Us9e4es,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/W3b37YbepQZc0b1ElvWlaR/l,3.36,kg,2024-06-17T13:51:00.789+01:00,4e6a19a2eac061ff8324c1133f4f0ad6e513c744d1c63c35bec4f5564c75f959,26.15,EUR
Mn8VPbQJglLs1Embeen5be,RlZY9n3jjmjUZLeomeXogd,Kaufland,bricks,Groceries,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/151/l,{Hyper-Supermarket},Ul. Kilińskiego 5,Włocławek,87-800,PL,rooftop,52.656042,19.062257,https://www.kaufland.com,https://www.google.com/maps/place/?q=place_id:ChIJUf30AG-ZHEcRpJfKHWLS2i0,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/RlZY9n3jjmjUZLeomeXogd/l,0.9,kg,2023-08-13T13:52:00.789+01:00,09d64bdb0ffbe0ef09587ca13e56fe3b509151df9c2d95e080647278a1a6b5cf,2.7,EUR
Xvm72RlXBlETNQPKElrklm,XYPWQdepDmI3XklAEpRmZ,Nike,bricks,Sport,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/3653021748/l,"{Sportswear,""Sports And Outdoor Equipment""}",Yil Bulv No 155/A-14-15,Antalya,7030,TR,rooftop,36.8830373,30.6596098,https://www.nike.com,https://www.google.com/maps/place/?q=place_id:ChIJGeMRcLaRwxQRTLujX2V6gKA,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/XYPWQdepDmI3XklAEpRmZ/l,60.32,kg,2024-09-09T16:00:00.987+03:00,94c8340d437ca1cd98ec68b453b844ea1b17625bf0b10d5ccfd58725188fd45a,129.5,EUR
RPGJ5ARBpWauNB9QR5d2nb,barWbzKbLRCooqPrD9oVz,Hilton,bricks,Travel,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/140/l,"{Accommodations,""Hotels And Guesthouses""}",Avenida das Nações Unidas 12901,Brooklin,04578-000,BR,rooftop,-23.6110496,-46.6967277,https://www.hiltonhotels.com,https://www.google.com/maps/place/?q=place_id:ChIJNwC7Is1QzpQRlb3t_PXMK34,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/barWbzKbLRCooqPrD9oVz/l,2072.52,kg,2023-10-11T08:30:00.654-03:00,fd57d76a2393ec5ea18324ae3e555c6aa3df352f2bc2bb63b5bd69940b07fec6,2172.6,EUR
1EE9e9XGrEfPq2AKb53XV,aD4BR9koqAeinn32WeqN39,Tesla,online,Car,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/139/l,"{""Car Sales"",""Shopping Online"",""Car Services"",""Online Car"",Sustainable}",,,,,,,,https://www.tesla.com,,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/aD4BR9koqAeinn32WeqN39/l,3.76,kg,2023-07-07T17:00:00.123+03:00,4299a581244b1b5a06f57068a4ab2571a9a4a2d0c9a8f8bf15e7d8197005efe4,6.75,EUR
dQnP95o0EyBf52Mr9R7RM2,kZ7kdDp3yXjSAzLl9GWBY1,Lavazza,bricks,Groceries,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/151/l,"{""Groceries - Other""}",Great Marlborough Street 23-24,London,W1F7HU,GB,rooftop,51.5140808,-0.1405119,https://www.lavazza.com,https://www.google.com/maps/place/?q=place_id:ChIJsf2dc9QFdkgRv0C1hZor-iw,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/kZ7kdDp3yXjSAzLl9GWBY1/l,5.38,kg,2024-12-02T12:00:00.321+01:00,e6aab606b7efb2ca1bc77d76f410c28a5e605aa6ab869b6bf44132a3a1e6a4de,14.9,EUR
gl7XK3HkO0xJN9hNsXz8Op,5fa3a666ead947038a1723,GAIL's Bakery,bricks,Food And Drink,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/category/147/l,"{Cafe,""Groceries - Other"",Bakery}",Buckingham Palace Road 22-24,London,SW1W 0QP,GB,rooftop,51.4976042,-0.1443624,https://gailsbread.co.uk,https://www.google.com/maps/place/?q=place_id:ChIJEZavQ48FdkgR2xYR3Mxl_-4,https://s3.eu-central-1.amazonaws.com/files.node-prod.dateio.cz/m/5fa3a666ead947038a1723/l,3.47,kg,2023-04-01T12:01:00.321+01:00,7db6d6da822bd9c0f1a4f9533c335dfa780d6cb63b5834e1c27c78654a359fc2,25.05,EUR
