date,amount,category,description,merchant
2024-12-01,45.23,Food & Dining,Lunch,Chipotle
2024-12-02,125.00,Shopping,Clothing,Target
2024-12-03,8.50,Coffee,Morning coffee,Starbucks
2024-12-05,67.89,Groceries,Weekly shopping,Whole Foods
2024-12-07,23.45,Coffee,Coffee and pastry,Starbucks
2024-12-08,15.99,Entertainment,Movie ticket,AMC Theater
2024-12-10,89.00,Transportation,Gas,Shell
2024-12-12,34.56,Food & Dining,Dinner,Olive Garden
2024-12-14,12.30,Coffee,Afternoon latte,Peet's Coffee
2024-12-15,156.78,Shopping,Electronics,Best Buy
2024-12-17,45.00,Health,Gym membership,Planet Fitness
2024-12-18,28.90,Food & Dining,Lunch,Subway
2024-12-20,9.99,Entertainment,Netflix subscription,Netflix
2024-12-22,76.54,Groceries,Holiday shopping,Safeway
2024-12-23,19.88,Coffee,Coffee beans,Starbucks
2024-12-25,234.56,Shopping,Holiday gifts,Amazon
2024-12-27,43.21,Food & Dining,Brunch,IHOP
2024-12-28,18.76,Transportation,Uber ride,Uber
2024-12-30,65.43,Entertainment,Concert tickets,Ticketmaster
2024-12-31,87.65,Food & Dining,New Year's Eve dinner,The Cheesecake Factory
